,Room_type
1311,Private room
1312,Shared room
1313,Entire home/apt
1314,Shared room
1316,Private room
1318,Private room
1319,Private room
1320,Not mentioned
1321,Not mentioned
1323,Entire home/apt
1325,Entire home/apt
1327,Entire home/apt
1329,Private room
1331,Entire home/apt
1333,Entire home/apt
1334,Not mentioned
1335,Not mentioned
1337,Entire home/apt
1338,Not mentioned
1339,Not mentioned
1340,Entire home/apt
1341,Private room
1342,Entire home/apt
1343,Entire home/apt
1345,Entire home/apt
1347,Entire home/apt
1348,Not mentioned
1350,Entire home/apt
1351,Not mentioned
1353,Entire home/apt
1354,Private room
1355,Entire home/apt
1356,Private room
1357,Shared room
1358,Entire home/apt
1359,Not mentioned
1360,Entire home/apt
1362,Entire home/apt
1363,Not mentioned
1364,Not mentioned
1365,Not mentioned
1366,Not mentioned
1368,Entire home/apt
1370,Private room
1371,Private room
1372,Private room
1373,Private room
1374,Shared room
1375,Private room
1376,Not mentioned
1377,Not mentioned
1378,Entire home/apt
1380,Entire home/apt
1382,Private room
1383,Private room
1384,Not mentioned
1386,Entire home/apt
1388,Entire home/apt
1389,Not mentioned
1391,Entire home/apt
1392,Not mentioned
1393,Not mentioned
1394,Not mentioned
1395,Not mentioned
1396,Not mentioned
1397,Not mentioned
1398,Not mentioned
1399,Not mentioned
1400,Not mentioned
1401,Not mentioned
1402,Not mentioned
1404,Entire home/apt
1406,Entire home/apt
1407,Private room
1408,Entire home/apt
1409,Not mentioned
1410,Not mentioned
1412,Entire home/apt
1413,Not mentioned
1414,Not mentioned
1415,Not mentioned
1416,Not mentioned
1418,Entire home/apt
1419,Not mentioned
1421,Entire home/apt
1422,Entire home/apt
1423,Private room
1424,Private room
1425,Not mentioned
1426,Not mentioned
1427,Not mentioned
1428,Not mentioned
1429,Not mentioned
1430,Not mentioned
1431,Not mentioned
1432,Not mentioned
1433,Not mentioned
1434,Not mentioned
1435,Not mentioned
1437,Entire home/apt
1439,Entire home/apt
1440,Entire home/apt
1441,Not mentioned
1442,Private room
1443,Not mentioned
1444,Entire home/apt
1446,Entire home/apt
1448,Entire home/apt
1450,Private room
1451,Not mentioned
1452,Not mentioned
1453,Not mentioned
1454,Not mentioned
1456,Entire home/apt
1457,Entire home/apt
1458,Private room
1459,Not mentioned
1460,Private room
1462,Entire home/apt
1463,Not mentioned
1465,Entire home/apt
1466,Entire home/apt
1467,Private room
1468,Not mentioned
1469,Not mentioned
1471,Private room
1472,Not mentioned
1474,Entire home/apt
1476,Entire home/apt
1477,Entire home/apt
1478,Not mentioned
1479,Entire home/apt
1480,Private room
1481,Entire home/apt
1482,Private room
1483,Shared room
1484,Not mentioned
1486,Private room
1487,Not mentioned
1488,Not mentioned
1489,Not mentioned
1491,Entire home/apt
1492,Entire home/apt
1493,Private room
1495,Entire home/apt
1496,Entire home/apt
1497,Entire home/apt
1498,Entire home/apt
1499,Private room
1500,Private room
1501,Not mentioned
1503,Private room
1504,Entire home/apt
1506,Entire home/apt
1508,Entire home/apt
1509,Not mentioned
1510,Not mentioned
1511,Not mentioned
1512,Not mentioned
1513,Entire home/apt
1514,Not mentioned
1516,Entire home/apt
1517,Private room
1519,Entire home/apt
1521,Entire home/apt
1522,Entire home/apt
1523,Entire home/apt
1524,Not mentioned
1526,Entire home/apt
1527,Not mentioned
1529,Private room
1531,Entire home/apt
1532,Entire home/apt
1533,Private room
1534,Private room
1535,Not mentioned
1536,Not mentioned
1537,Not mentioned
1539,Entire home/apt
1540,Entire home/apt
1541,Entire home/apt
1542,Entire home/apt
1543,Private room
1544,Not mentioned
1545,Not mentioned
1547,Entire home/apt
1548,Private room
1549,Private room
1551,Entire home/apt
1552,Entire home/apt
1554,Entire home/apt
1555,Entire home/apt
1556,Not mentioned
1558,Entire home/apt
1559,Not mentioned
1560,Entire home/apt
1561,Not mentioned
1562,Not mentioned
1564,Private room
1566,Private room
1567,Not mentioned
1568,Not mentioned
1569,Not mentioned
1570,Not mentioned
1571,Not mentioned
1572,Not mentioned
1573,Not mentioned
1574,Not mentioned
1575,Not mentioned
1576,Not mentioned
1577,Not mentioned
1578,Not mentioned
1579,Not mentioned
1580,Not mentioned
1582,Entire home/apt
1584,Entire home/apt
1585,Private room
1586,Not mentioned
1587,Not mentioned
1588,Entire home/apt
1589,Entire home/apt
1590,Not mentioned
1591,Not mentioned
1592,Not mentioned
1593,Not mentioned
1594,Not mentioned
1596,Entire home/apt
1597,Entire home/apt
1598,Entire home/apt
1600,Entire home/apt
1601,Entire home/apt
1602,Private room
1603,Private room
1604,Entire home/apt
1606,Entire home/apt
1607,Private room
1608,Entire home/apt
1609,Not mentioned
1610,Not mentioned
1611,Not mentioned
1612,Not mentioned
1613,Not mentioned
1614,Not mentioned
1615,Not mentioned
1616,Not mentioned
1618,Entire home/apt
1620,Entire home/apt
1621,Entire home/apt
1622,Not mentioned
1624,Shared room
1626,Entire home/apt
1627,Entire home/apt
1628,Private room
1630,Entire home/apt
1632,Entire home/apt
1633,Entire home/apt
1634,Private room
1635,Shared room
1636,Entire home/apt
1637,Shared room
1638,Private room
1639,Private room
1640,Shared room
1642,Entire home/apt
1643,Entire home/apt
1644,Shared room
1646,Entire home/apt
1647,Entire home/apt
1648,Not mentioned
1649,Entire home/apt
1650,Private room
1652,Entire home/apt
1653,Entire home/apt
1654,Private room
1655,Entire home/apt
1656,Private room
1657,Shared room
1659,Private room
1660,Entire home/apt
1661,Not mentioned
1662,Not mentioned
1664,Entire home/apt
1665,Not mentioned
1666,Entire home/apt
1667,Not mentioned
1669,Private room
1670,Not mentioned
1671,Entire home/apt
1672,Not mentioned
1674,Private room
1675,Private room
1676,Shared room
1677,Private room
1678,Shared room
1679,Private room
1680,Shared room
1681,Not mentioned
1682,Not mentioned
1683,Not mentioned
1685,Entire home/apt
1686,Not mentioned
1687,Entire home/apt
1688,Not mentioned
1689,Not mentioned
1691,Entire home/apt
1692,Not mentioned
1693,Private room
1694,Not mentioned
1695,Private room
1696,Not mentioned
1697,Not mentioned
1698,Not mentioned
1699,Entire home/apt
1700,Not mentioned
1701,Not mentioned
1702,Not mentioned
1703,Not mentioned
1704,Not mentioned
1705,Entire home/apt
1706,Private room
1708,Entire home/apt
1709,Entire home/apt
1710,Private room
1711,Not mentioned
1712,Not mentioned
1713,Not mentioned
1714,Not mentioned
1716,Entire home/apt
1717,Entire home/apt
1718,Private room
1719,Entire home/apt
1721,Entire home/apt
1722,Not mentioned
1724,Entire home/apt
1725,Private room
1726,Private room
1727,Not mentioned
1728,Private room
1729,Entire home/apt
1730,Not mentioned
1732,Entire home/apt
1733,Not mentioned
1734,Not mentioned
1735,Private room
1736,Not mentioned
1738,Entire home/apt
1739,Not mentioned
1740,Not mentioned
1741,Private room
1742,Entire home/apt
1743,Private room
1744,Entire home/apt
1745,Not mentioned
1746,Not mentioned
1747,Not mentioned
1748,Not mentioned
1749,Not mentioned
1750,Not mentioned
1752,Entire home/apt
1754,Entire home/apt
1756,Entire home/apt
1758,Entire home/apt
1759,Entire home/apt
1760,Private room
1761,Not mentioned
1762,Not mentioned
1764,Private room
1765,Entire home/apt
1766,Not mentioned
1768,Entire home/apt
1770,Entire home/apt
1772,Entire home/apt
