,Neighbourhhood
1636,Ballsbridge
1637,
1638,City Centre
1639,Drumcondra
1640,East Wall
1641,Phibsborough
1642,Rathgar
1643,Rialto
1644,Smithfield
1645,City Centre
1646,Smithfield
1647,
1648,City Centre
1649,
1650,City Centre
1651,Docklands
1652,Temple Bar
1653,
1654,City Centre
1655,
1656,City Centre
1657,
1658,City Centre
1659,
1660,Temple Bar
1661,
1662,City Centre
1663,North City Central/O'Connell Street
1664,
1665,Docklands
1666,Ringsend/Irishtown
1667,
1668,City Centre
1669,
1670,Ranelagh and Rathmines
1671,
1672,Temple Bar
1673,
1674,City Centre
1675,Docklands
1676,
1677,City Centre
1678,Ranelagh and Rathmines
1679,
1680,City Centre
1681,
1682,City Centre
1683,Drumcondra
1684,Marino
1685,
1686,City Centre
1687,
1688,City Centre
1689,
1690,City Centre
1691,
1692,City Centre
1693,
1694,City Centre
1695,Temple Bar
1696,Docklands
1697,
1698,City Centre
1699,
1700,City Centre
1701,
1702,City Centre
1703,
1704,Ballsbridge
1705,Ballsbridge
1706,Ranelagh and Rathmines
1707,Sandymount
1708,
1709,Temple Bar
1710,
1711,City Centre
1712,
1713,City Centre
1714,
1715,City Centre
1716,
1717,City Centre
1718,Clontarf
1719,Docklands
1720,East Wall
1721,Fairview
1722,North City Central/O'Connell Street
1723,North Strand
1724,City Centre
1725,North City Central/O'Connell Street
1726,Clontarf
1727,Courtlands
1728,Docklands
1729,Donnybrook
1730,East Wall
1731,Edenmore
1732,Fairview
1733,Finglas
1734,North Strand
1735,Old City
1736,City Centre
1737,North City Central/O'Connell Street
1738,Clontarf
1739,Docklands
1740,East Wall
1741,Fairview
1742,North Strand
1743,
1744,City Centre
1745,Docklands
1746,Docklands
1747,
1748,City Centre
1749,
1750,City Centre
1751,
1752,City Centre
1753,
1754,City Centre
1755,
1756,City Centre
1757,
1758,Churchtown
1759,Smithfield
1760,Stoneybatter/Arbour Hill
1761,Temple Bar
1762,City Centre
1763,Smithfield
1764,Stoneybatter/Arbour Hill
1765,Temple Bar
1766,Smithfield
1767,Stoneybatter/Arbour Hill
1768,Temple Bar
1769,
1770,Old City
1771,
1772,City Centre
1773,
1774,City Centre
1775,
1776,Blackrock
1777,Churchtown
1778,Clondalkin
1779,Crumlin
1780,Harold's Cross
1781,Kimmage
1782,Terenure
1783,
1784,City Centre
1785,
1786,Ballsbridge
1787,Blackrock
1788,Donnybrook
1789,
1790,City Centre
1791,City Centre
1792,Temple Bar
1793,
1794,City Centre
1795,Georgian Quarter
1796,Grafton Street/St. Stephens Green
1797,Georgian Quarter
1798,Grafton Street/St. Stephens Green
1799,Old City
1800,Temple Bar
1801,
1802,City Centre
1803,
1804,City Centre
1805,
1806,City Centre
1807,
1808,City Centre
1809,
1810,City Centre
1811,
1812,City Centre
1813,City Centre
1814,Old City
1815,
1816,City Centre
1817,
1818,City Centre
1819,Temple Bar
1820,
1821,City Centre
1822,
1823,City Centre
1824,
1825,City Centre
1826,
1827,Georgian Quarter
1828,
1829,City Centre
1830,Ranelagh and Rathmines
1831,
1832,City Centre
1833,
1834,Kilmainham
1835,Kilmainham
1836,Rialto
1837,Rialto
1838,
1839,City Centre
1840,Old City
1841,
1842,City Centre
1843,Temple Bar
1844,
1845,City Centre
1846,
1847,City Centre
1848,
1849,City Centre
1850,
1851,City Centre
1852,
1853,Phibsborough
1854,
1855,City Centre
1856,Grafton Street/St. Stephens Green
1857,
1858,City Centre
1859,Old City
1860,
1861,City Centre
1862,
1863,City Centre
1864,Temple Bar
1865,
